Grupo,Execução,Lucro,"Segurança
Alimentar","Diversidade
Ajustada","Diversidade
Gini"
1,EXP_L1,"434506,81","-1,24","179,63","0,15"
1,EXP_S1,"-49651878,71","24137,28","124,97","0,19"
1,EXP_D1,"-31120,35","-1,13","218,17","0,1"
2,EXP_L2,"1330627,29","-1,24","193,58","0,13"
2,EXP_S2,"-169114427,37","98211,17","74,98","0,19"
2,EXP_D2,"-25935,72","-1,13","252,64","0,03"
3,EXP_L3,"3036538,41","-1,22","198,32","0,09"
3,EXP_S3,"-467786729,17","283396,52","37,49","0,19"
3,EXP_D3,"1946,39","-1,13","271,11","0,01"
6,EXP_L6,"5358159,62","-1,13","111,37","0,52"
6,EXP_S6,"-297761496,36","167750,02","52,56","0,54"
6,EXP_D6,"-34339,91","-1,12","235,28","0,12"
9,EXP_L9,-,-,-,-
9,EXP_S9,"-412611727,32","127583,38","498,51","0,24"
9,EXP_D9,"-65687,35","-0,46","972,3","0,09"
10,EXP_L10,-,-,-,-
10,EXP_S10,"-1008279527,76","331287,13","332,34","0,24"
10,EXP_D10,"403144,45","-0,51","592,59","0,14"
11,EXP_L11,"62081450,60","-0,68","750,36","0,27"
11,EXP_S11,"-2214448193,44","738694,49","199,4","0,24"
11,EXP_D11,-83217.55,-0.55,"414,59","0,28"